positive,negative,not,degree-1,degree-2,degree-3,degree-4,degree-5,degree-6
爽心,看不順眼,,,,,,,
爽怡,看淡,,,,,,,
說好,看低,,,,,,,
說好話,看輕,,,,,,,
說妥,抗議,,,,,,,
說項,苛察,,,,,,,
思,苛責,,,,,,,
思戀,可憐,,,,,,,
思慕,可惜,,,,,,,
思念,恐,,,,,,,
松心,恐慌,,,,,,,
頌,恐懼,,,,,,,
頌揚,口誅筆伐,,,,,,,
頌贊,哭喪著臉,,,,,,,
送往迎來,哭笑不得,,,,,,,
隨心,苦悶,,,,,,,
遂心,苦惱,,,,,,,
遂意,苦澀,,,,,,,
抬愛,寬貸,,,,,,,
抬舉,寬假,,,,,,,
貪,寬免,,,,,,,
貪戀,寬赦,,,,,,,
貪圖,寬恕,,,,,,,
歎,寬宥,,,,,,,
嘆服,狂怒,,,,,,,
歎賞,虧心,,,,,,,
歎為觀止,愧,,,,,,,
嘆羨,愧對,,,,,,,
陶然,愧汗,,,,,,,
陶陶,愧恨,,,,,,,
陶醉,愧悔,,,,,,,
特許,愧疚,,,,,,,
疼,愧怍,,,,,,,
疼愛,愧恧,,,,,,,
疼惜,愧赧,,,,,,,
提倡,困窘,,,,,,,
甜絲絲,困迫,,,,,,,
甜滋滋,拉不下臉,,,,,,,
挑三揀四,拉不下臉來,,,,,,,
挑眼,拉長個臉,,,,,,,
通過,拉下臉,,,,,,,
通融,拉下臉來,,,,,,,
同意,來火,,,,,,,
吐口,來氣,,,,,,,
吐氣揚眉,賴,,,,,,,
推,懶得,,,,,,,
推崇,懶洋洋,,,,,,,
推戴,勞神,,,,,,,
推許,老羞成怒,,,,,,,
推重,冷嘲熱諷,,,,,,,
推尊,冷淡,,,,,,,
望,憐,,,,,,,
望眼欲穿,憐憫,,,,,,,
忘乎所以,憐惜,,,,,,,
妄想,憐恤,,,,,,,
維護,臉紅脖子粗,,,,,,,
畏,臉紅耳熱,,,,,,,
溫存,臉皮薄,,,,,,,
問心無愧,臉上下不來,,,,,,,
無愧,涼,,,,,,,
嘻嘻哈哈,兩難,,,,,,,
稀罕,亮紅燈,,,,,,,
希,諒,,,,,,,
希罕,諒解,,,,,,,
希冀,慮,,,,,,,
希圖,亂,,,,,,,
希望,亂了方寸,,,,,,,
惜,罵,,,,,,,
喜,罵不絕口,,,,,,,
喜愛,罵大街,,,,,,,
喜不自禁,罵得狗血淋頭,,,,,,,
喜不自勝,罵得狗血噴頭,,,,,,,
喜衝衝,罵街,,,,,,,
喜出望外,罵罵咧咧,,,,,,,
喜好,罵娘,,,,,,,
喜歡,罵人,,,,,,,
喜樂,埋沒,,,,,,,
喜眉笑眼,埋汰,,,,,,,
喜氣洋洋,埋怨,,,,,,,
喜上眉梢,滿不在乎,,,,,,,
喜上心頭,滿臉愁霧,,,,,,,
喜興,漫罵,,,,,,,
喜形於色,謾罵,,,,,,,
喜幸,毛骨悚然,,,,,,,
喜洋洋,冒火,,,,,,,
喜吟吟,沒個好臉,,,,,,,
喜盈盈,沒精打采,,,,,,,
喜悅,沒意思,,,,,,,
喜滋滋,沒有好臉,,,,,,,
喜孜孜,悶,,,,,,,
顯揚,悶沉沉,,,,,,,
羨,悶悶,,,,,,,
羡慕,悶悶不樂,,,,,,,
相中,悶鬱,,,,,,,
想,面斥,,,,,,,
想念,面帶怒色,,,,,,,
想望,面帶嗔色,,,,,,,
向,面面相覷,,,,,,,
傾斜,面如死灰,,,,,,,
嚮往,面如土色,,,,,,,
向著,面無人色,,,,,,,
銷魂,面有愧色,,,,,,,
消魂,面有難色,,,,,,,
孝敬,面有慍色,,,,,,,
孝順,藐視,,,,,,,
寫意,蔑,,,,,,,
謝,蔑視,,,,,,,
謝天謝地,民怨沸騰,,,,,,,
謝謝,憫,,,,,,,
欣,鳴不平,,,,,,,
欣賞,鳴冤叫屈,,,,,,,
