positive,negative,not,degree-1,degree-2,degree-3,degree-4,degree-5,degree-6
耿耿,不穩定,,,,,,,
耿介,不問青紅皁白,,,,,,,
耿介不阿,不問三七二十一,,,,,,,
耿直,不問是非情由,,,,,,,
梗直,不顯眼,,,,,,,
工工整整,不現實,,,,,,,
工巧,不相適應,,,,,,,
工穩,不祥,,,,,,,
工細,不詳,,,,,,,
工整,不詳盡,,,,,,,
工緻,不像話,,,,,,,
功不可沒,不消化,,,,,,,
功德無量,不孝,,,,,,,
恭,不肖,,,,,,,
恭恭敬敬,不協調,,,,,,,
恭謹,不興,,,,,,,
恭順,不行,,,,,,,
公,不幸,,,,,,,
公道,不修邊幅,,,,,,,
公而忘私,不學無術,,,,,,,
公開,不遜,,,,,,,
公平,不雅,,,,,,,
公平正直,不雅觀,,,,,,,
公然,不雅緻,,,,,,,
公允,不要緊,,,,,,,
公正,不一致,,,,,,,
公正客觀,不宜,,,,,,,
鞏固,不宜居住,,,,,,,
勾魂,不宜說出口,,,,,,,
勾魂攝魄,不易,,,,,,,
夠格,不友好,,,,,,,
夠水平,不友善,,,,,,,
夠味兒,不擇手段,,,,,,,
夠意思,不真誠,,,,,,,
鼓舞人心,不真實,,,,,,,
古道熱腸,不貞潔,,,,,,,
古樸,不正常,,,,,,,
古色古香,不正當,,,,,,,
古香古色,不正派,,,,,,,
骨鯁,不正直,,,,,,,
固,不值得羨慕,,,,,,,
固定,不值一文,,,,,,,
固若金湯,不中用,,,,,,,
乖,不重要,,,,,,,
乖覺,不周,,,,,,,
乖巧,不周到,,,,,,,
關鍵,不注意,,,,,,,
關鍵性,不著邊際,,,,,,,
管教好,不著調,,,,,,,
管事,不足道,,,,,,,
管事兒,不足掛齒,,,,,,,
管用,不足輕重,,,,,,,
光,不足取,,,,,,,
光彩,不足為外人道,,,,,,,
光彩奪目,不足為訓,,,,,,,
光彩照人,不羈,,,,,,,
光彩炫目,不稂不莠,,,,,,,
光燦,不虔誠,,,,,,,
光燦燦,才疏學淺,,,,,,,
光風霽月,財迷心竅,,,,,,,
光滑,殘,,,,,,,
光滑滑,殘敗,,,,,,,
光輝,殘暴,,,,,,,
光輝燦爛,殘毒,,,,,,,
光潔,殘酷,,,,,,,
光可鑑人,殘酷無情,,,,,,,
光亮,殘虐,,,,,,,
光亮亮,殘破,,,,,,,
光溜,殘破不全,,,,,,,
光溜溜,殘缺,,,,,,,
光芒萬丈,殘缺不全,,,,,,,
光明,殘忍,,,,,,,
光明磊落,殘損,,,,,,,
光明正大,慘,,,,,,,
光榮,慘不忍睹,,,,,,,
光潤,慘淡,,,,,,,
光閃閃,慘毒,,,,,,,
光鮮,慘絕人寰,,,,,,,
光豔,慘苦,,,,,,,
光耀,慘厲,,,,,,,
廣遠,慘烈,,,,,,,
瑰,慘無人道,,,,,,,
瑰麗,蒼白,,,,,,,
瑰偉,蒼白無力,,,,,,,
瑰瑋,蒼涼,,,,,,,
規範,蒼茫,,,,,,,
鬼,操切,,,,,,,
鬼斧神工,糙,,,,,,,
貴,草,,,,,,,
貴重,草草,,,,,,,
滾瓜爛熟,草荒,,,,,,,
國色天香,草率,,,,,,,
國泰民安,草木皆兵,,,,,,,
國優,策略,,,,,,,
果,策略性,,,,,,,
果斷,差,,,,,,,
果敢,差點兒,,,,,,,
果決,差勁,,,,,,,
過得硬,差可,,,,,,,
過謙,豺狼成性,,,,,,,
過細,豺狼當道,,,,,,,
過硬,纏手,,,,,,,
海枯石爛,顫顫巍巍,,,,,,,
憨,顫顫悠悠,,,,,,,
憨厚,顫巍巍,,,,,,,
憨實,猖,,,,,,,
憨直,猖狂,,,,,,,
含情,長長短短,,,,,,,
含情脈脈,長篇大論,,,,,,,
含蓄,長篇累牘,,,,,,,
含義明確,長線,,,,,,,
涵蓄,超標,,,,,,,
悍,超常,,,,,,,
豪,超然,,,,,,,
豪放,超重,,,,,,,
豪放不羈,朝不保夕,,,,,,,
豪華,朝不謀夕,,,,,,,
豪華型,朝秦暮楚,,,,,,,
豪邁,朝三暮四,,,,,,,
豪爽,潮,,,,,,,
豪壯,吵吵鬧鬧,,,,,,,
豪宕,吵人,,,,,,,
毫不動搖,沉滯,,,,,,,
毫不費力,陳,,,,,,,
毫不利己,陳腐,,,,,,,
毫不畏懼,陳舊,,,,,,,
毫不猶豫,成事不足，敗事有餘,,,,,,,
毫髮不差,逞性,,,,,,,
毫髮不爽,逞性子,,,,,,,
毫髮無損,吃不開,,,,,,,
毫釐不差,吃勁,,,,,,,
毫釐不爽,吃力,,,,,,,
毫無保留地,吃重,,,,,,,
毫無錯誤,痴,,,,,,,
毫無問題,痴痴,,,,,,,
毫無疑義,痴呆,,,,,,,
好辦,痴呆呆,,,,,,,
好吃,痴傻,,,,,,,
好端端,痴愚,,,,,,,
好過,遲鈍,,,,,,,
好好,侈,,,,,,,
好看,侈靡,,,,,,,
好客,侈糜,,,,,,,
好上加好,赤地千里,,,,,,,
好聲好氣,赤裸裸淫穢,,,,,,,
好生生,赤貧,,,,,,,
好使,充滿危機,,,,,,,
好受,衝昏頭腦,,,,,,,
好說話,醜,,,,,,,
好說話兒,醜惡,,,,,,,
好聽,醜陋,,,,,,,
好玩,臭,,,,,,,
好玩兒,臭不可聞,,,,,,,
好笑,臭哄哄,,,,,,,
好心,臭烘烘,,,,,,,
好心腸,臭名遠揚,,,,,,,
好心好意,臭名昭彰,,,,,,,
好用,臭名昭著,,,,,,,
浩,臭氣沖天,,,,,,,
浩大,臭氣熏天,,,,,,,
浩蕩,臭味,,,,,,,
浩然,初出茅廬,,,,,,,
核心,出手闊氣,,,,,,,
和,觸目驚心,,,,,,,
和藹,穿不出去,,,,,,,
和藹可親,穿不得,,,,,,,
和暢,串秧兒,,,,,,,
和風細雨,瘡痍滿目,,,,,,,
和和睦睦,蠢,,,,,,,
和和氣氣,蠢笨,,,,,,,
和緩,蠢頭蠢腦,,,,,,,
和睦,刺鼻,,,,,,,
和平,刺耳,,,,,,,
和氣,刺眼,,,,,,,
和洽,次,,,,,,,
和軟,次等,,,,,,,
和善,從動,,,,,,,
和聲,從心所欲,,,,,,,
和順,從嚴,,,,,,,
和婉,從重,,,,,,,
和祥,粗,,,,,,,
和諧,粗暴,,,,,,,
和顏悅色,粗笨,,,,,,,
和易,粗鄙,,,,,,,
和悅,粗糙,,,,,,,
合當,粗放,,,,,,,
合度,粗拉,,,,,,,
合法,粗裡粗氣,,,,,,,
合格,粗劣,,,,,,,
合乎邏輯,粗陋,,,,,,,
合口,粗魯,,,,,,,
合口味,粗率,,,,,,,
合理,粗蠻,,,,,,,
合拍,粗莽,,,,,,,
合情合理,粗淺,,,,,,,
合情理,粗澀,,,,,,,
合群,粗手笨腳,,,,,,,
合時,粗疏,,,,,,,
合適,粗俗,,,,,,,
合胃口,粗線條,,,,,,,
合宜,粗心,,,,,,,
赫,粗心大意,,,,,,,
赫赫,粗野,,,,,,,
赫赫有名,粗枝大葉,,,,,,,
赫然,粗製濫造,,,,,,,
鶴髮童顏,粗重,,,,,,,
鶴立雞群,粗拙,,,,,,,
黑白分明,粗獷,,,,,,,
很有抱負,促狹,,,,,,,
很有意義,脆弱,,,,,,,
狠,村氣,,,,,,,
狠狠,村野,,,,,,,
恆,寸草不生,,,,,,,
恆定,錯,,,,,,,
恆量,錯亂,,,,,,,
鬨鬧,錯誤,,,,,,,
鴻,錯誤百出,,,,,,,
洪,錯雜,,,,,,,
宏,錯綜,,,,,,,
宏大,錯綜複雜,,,,,,,
宏富,大錯而特錯,,,,,,,
宏麗,大錯特錯,,,,,,,
宏贍,大大咧咧,,,,,,,
宏偉,大而笨拙,,,,,,,
弘,大而化之,,,,,,,
弘大,大而無當,,,,,,,
紅,大海撈針,,,,,,,
紅得發紫,大面額,,,,,,,
紅紅火火,大謬不然,,,,,,,
紅火,大手大腳,,,,,,,
紅旗,大肆,,,,,,,
紅色,大搖大擺,,,,,,,
猴兒精,大意,,,,,,,
厚,大咧咧,,,,,,,
厚道,呆板,,,,,,,
後生可畏,呆笨,,,,,,,
呼之欲出,呆痴,,,,,,,
虎背熊腰,呆呆,,,,,,,
虎虎生氣,呆鈍,,,,,,,
花,呆氣,,,,,,,
花繁葉茂,呆傻,,,,,,,
花好月圓,呆頭呆腦,,,,,,,
花氣襲人,歹,,,,,,,
花容玉貌,歹毒,,,,,,,
花容月貌,帶有敵意,,,,,,,
花哨,殆,,,,,,,
花團錦簇,怠惰,,,,,,,
花香鳥語,單,,,,,,,
花樣翻新,單薄,,,,,,,
花枝招展,單調,,,,,,,
華,單調枯燥,,,,,,,
華貴,單弱,,,,,,,
華麗,膽怯,,,,,,,
華美,膽小,,,,,,,
滑,膽小怕事,,,,,,,
滑不唧溜,膽小如鼠,,,,,,,
滑稽,淡,,,,,,,
滑溜,淡薄,,,,,,,
滑溜溜,淡淡,,,,,,,
滑膩,淡而無味,,,,,,,
滑潤,淡漠,,,,,,,
滑爽,淡然,,,,,,,
滑天下之大稽,誕,,,,,,,
劃時代,蕩,,,,,,,
劃一,刀光劍影,,,,,,,
劃一不二,蹈常襲故,,,,,,,
歡蹦亂跳,倒胃口,,,,,,,
歡洽,道德敗壞,,,,,,,
歡實,道貌岸然,,,,,,,
煥,德行,,,,,,,
黃熟,德性,,,,,,,
煌,得寸進尺,,,,,,,
煌煌,得隴望蜀,,,,,,,
晃眼,得魚忘筌,,,,,,,
輝煌,燈紅酒綠,,,,,,,
回味無窮,燈火闌珊,,,,,,,
慧,等而下之,,,,,,,
慧眼獨具,等外,,,,,,,
繪聲繪色,等因奉此,,,,,,,
繪聲繪影,低,,,,,,,
繪影繪聲,低卑,,,,,,,
婚生,低標準,,,,,,,
渾厚,低層,,,,,,,
渾金璞玉,低檔,,,,,,,
渾樸,低等,,,,,,,
渾然,低端,,,,,,,
渾然一體,低階,,,,,,,
渾身是膽,低賤,,,,,,,
渾俗和光,低劣,,,,,,,
豁,低迷,,,,,,,
豁達,低能,,,,,,,
豁達大度,低人一等,,,,,,,
豁亮,低三下四,,,,,,,
豁然,低聲下氣,,,,,,,
活,低俗,,,,,,,
活便,低下,,,,,,,
活泛,低效,,,,,,,
活靈活現,低效能,,,,,,,
活絡,低值,,,,,,,
活潑,低智,,,,,,,
活生生,低質,,,,,,,
活躍,滴里嘟嚕,,,,,,,
火,敵對,,,,,,,
火暴,地位低下,,,,,,,
火爆,地下,,,,,,,
貨真價實,地獄般,,,,,,,
基,顛倒,,,,,,,
基本,顛連,,,,,,,
基部,顛三倒四,,,,,,,
基礎,凋敝,,,,,,,
基礎性,刁,,,,,,,
基礎紮實,刁惡,,,,,,,
機動,刁悍,,,,,,,
機警,刁滑,,,,,,,
機靈,刁賴,,,,,,,
機敏,刁蠻,,,,,,,
機巧,刁鑽,,,,,,,
機智,刁鑽古怪,,,,,,,
積極,吊兒郎當,,,,,,,
激動人心,調皮,,,,,,,
激進,鼎沸,,,,,,,
雞犬不驚,丟魂,,,,,,,
吉,丟臉,,,,,,,
吉利,丟三落四,,,,,,,
吉慶,東倒西歪,,,,,,,
吉祥,冬烘,,,,,,,
吉祥如意,動盪,,,,,,,
吉星高照,動盪不安,,,,,,,
極好,動魄驚心,,,,,,,
極其流行,動作遲頓,,,,,,,
極神聖,毒,,,,,,,
及格,毒辣,,,,,,,
急公好義,獨裁,,,,,,,
急進,獨斷,,,,,,,
技高一籌,度量小,,,,,,,
濟,短淺,,,,,,,
濟事,短視,,,,,,,
寂,鈍,,,,,,,
寂靜,多變,,,,,,,
寂然,多病,,,,,,,
記實,多事,,,,,,,
既定,多義,,,,,,,
既往不咎,多餘,,,,,,,
佳,惰,,,,,,,
佳麗,惰性,,,,,,,
家給人足,訛,,,,,,,
家喻戶曉,惡毒,,,,,,,
加意,惡貫滿盈,,,,,,,
甲等,惡狠狠,,,,,,,
甲級,惡劣,,,,,,,
價值連城,惡煞煞,,,,,,,
價值千金,噁心,,,,,,,
駕輕就熟,惡濁,,,,,,,
堅,餓殍遍野,,,,,,,
堅不可摧,耳生,,,,,,,
堅持不懈,二把刀,,,,,,,
堅持不渝,二手,,,,,,,
堅定,二五眼,,,,,,,
堅定不移,發狂,,,,,,,
堅固,發膩,,,,,,,
堅固耐用,發育不全,,,,,,,
堅決,乏,,,,,,,
堅強,乏味,,,,,,,
堅強不屈,翻手為雲，覆手為雨,,,,,,,
堅忍,翻雲覆雨,,,,,,,
堅忍不拔,繁複,,,,,,,
堅韌,繁亂,,,,,,,
堅韌不拔,繁難,,,,,,,
堅如磐石,繁冗,,,,,,,
堅實,繁瑣,,,,,,,
堅挺,繁蕪,,,,,,,
堅毅,繁雜,,,,,,,
堅貞,繁重,,,,,,,
堅貞不屈,繁縟,,,,,,,
堅貞不渝,煩難,,,,,,,
尖,煩冗,,,,,,,
尖端,煩瑣,,,,,,,
尖利,煩囂,,,,,,,
尖銳,反,,,,,,,
簡,反常,,,,,,,
簡便,反對稱,,,,,,,
簡便易行,反反覆覆,,,,,,,
簡單,反覆無常,,,,,,,
簡單化,反面,,,,,,,
簡單明瞭,反叛,,,,,,,
簡單易行,反社會,,,,,,,
簡短,犯有罪行,,,,,,,
簡潔,飯桶,,,,,,,
簡括,泛,,,,,,,
簡練,泛泛,,,,,,,
簡略,放誕,,,,,,,
簡明,放蕩,,,,,,,
簡明扼要,放蕩不羈,,,,,,,
簡樸,放浪,,,,,,,
簡要,放肆,,,,,,,
簡易,放縱,,,,,,,
簡約,菲,,,,,,,
儉,菲薄,,,,,,,
儉樸,非,,,,,,,
儉省,非法,,,,,,,
賤,非分,,,,,,,
賤價,非婚生,,,,,,,
見多識廣,非禮,,,,,,,
見機,非人,,,,,,,
見所未見,非生產性,,,,,,,
見微知萌,非正常,,,,,,,
見微知著,非正統,,,,,,,
健,非正義,,,,,,,
健步,廢,,,,,,,
健康,廢弛,,,,,,,
健康美,廢舊,,,,,,,
健朗,廢物,,,,,,,
健美,沸沸揚揚,,,,,,,
健全,費,,,,,,,
健實,費工夫,,,,,,,
健碩,費功夫,,,,,,,
健旺,費勁,,,,,,,
健壯,費力,,,,,,,
建設性,費時,,,,,,,
獎罰分明,費事,,,,,,,
講理,紛,,,,,,,
講禮貌,紛繁,,,,,,,
匠心獨具,紛亂,,,,,,,
嬌,紛擾,,,,,,,
嬌滴滴,紛雜,,,,,,,
嬌好,封閉,,,,,,,
嬌麗,封閉式,,,,,,,
嬌美,封閉型,,,,,,,
嬌媚,封建,,,,,,,
嬌柔,鋒芒畢露,,,,,,,
嬌豔,風吹日曬,,,,,,,
嬌嬈,風刀霜劍,,,,,,,
矯健,風風火火,,,,,,,
矯捷,風流,,,,,,,
腳踏實地,風騷,,,,,,,
較真,風聲鶴唳,,,,,,,
較真兒,風雨飄搖,,,,,,,
叫真,瘋瘋癲癲,,,,,,,
叫真兒,瘋狂,,,,,,,
節儉,瘋狂般,,,,,,,
節節,瘋癲癲,,,,,,,
節省,否,,,,,,,
節約,否定,,,,,,,
傑,膚泛,,,,,,,
傑出,膚皮潦草,,,,,,,
捷,膚淺,,,,,,,
竭誠,浮,,,,,,,
潔,浮泛,,,,,,,
潔淨,浮光掠影,,,,,,,
結結實實,浮滑,,,,,,,
結實,浮皮蹭癢,,,,,,,
結實粗壯,浮漂,,,,,,,
筋道,浮淺,,,,,,,
金碧輝煌,浮躁,,,,,,,
金壁輝煌,浮噪,,,,,,,
金不換,腐敗,,,,,,,
金燦燦,腐敗墮落,,,,,,,
金城湯池,腐臭,,,,,,,
金風送爽,腐惡,,,,,,,
金貴,腐化,,,,,,,
金晃晃,腐化墮落,,,,,,,
金閃閃,腐舊,,,,,,,
金玉,腐爛,,,,,,,
金玉滿堂,腐朽,,,,,,,
緊湊,腐朽沒落,,,,,,,
緊緊,覆雨翻雲,,,,,,,
緊要,復,,,,,,,
錦,複合,,,,,,,
錦簇花團,複合式,,,,,,,
錦繡,複合型,,,,,,,
謹,複雜,,,,,,,
謹慎,複雜多變,,,,,,,
謹嚴,傅會,,,,,,,
謹言慎行,負,,,,,,,
謹飭,負面,,,,,,,
進步,富餘,,,,,,,
近便,附會,,,,,,,
儘可能,嘎,,,,,,,
盡人皆知,該死,,,,,,,
盡如人意,概念化,,,,,,,
盡善盡美,幹,,,,,,,
盡心,乾巴,,,,,,,
盡心竭力,乾巴巴,,,,,,,
盡心盡力,乾癟,,,,,,,
勁,乾癟癟,,,,,,,
兢兢業業,乾乾巴巴,,,,,,,
晶,乾燥,,,,,,,
晶瑩,趕盡殺絕,,,,,,,
晶瑩剔透,剛愎,,,,,,,
精,剛愎自用,,,,,,,
精闢,高昂,,,,,,,
精采,高傲,,,,,,,
精彩,高不成，低不就,,,,,,,
精彩紛呈,高不成低不就,,,,,,,
精誠,高成本,,,,,,,
精粹,高價,,,,,,,
精打細算,高價位,,,,,,,
精當,高難,,,,,,,
精到,高難度,,,,,,,
精雕細刻,高壓,,,,,,,
精幹,疙疙瘩瘩,,,,,,,
精光,疙裡疙瘩,,,,,,,
精悍,隔靴搔癢,,,,,,,
精精神神,勾心鬥角,,,,,,,
精力充沛,苟且,,,,,,,
精練,狗眼看人,,,,,,,
精良,垢,,,,,,,
精靈,夠嗆,,,,,,,
精美,夠戧,,,,,,,
精密,孤,,,,,,,
精妙,孤傲,,,,,,,
精明,孤傲不群,,,,,,,
精明強幹,孤單,,,,,,,
精巧,孤單單,,,,,,,
精確,孤獨,,,,,,,
精深,孤孤單單,,,,,,,
精神,孤寡,,,,,,,
精神百倍,孤寂,,,,,,,
精神飽滿,孤立,,,,,,,
精神抖擻,孤立無援,,,,,,,
精神煥發,孤零零,,,,,,,
精神十足,孤陋寡聞,,,,,,,
精神矍鑠,孤僻,,,,,,,
精衛填海,古怪,,,,,,,
精細,古舊,,,,,,,
精心,古里古怪,,,,,,,
精選,固定不變,,,,,,,
精湛,固執,,,,,,,
精緻,寡,,,,,,,
精製,寡淡,,,,,,,
精壯,寡斷,,,,,,,
精準,寡了叭嘰,,,,,,,
經,寡情,,,,,,,
經常性,寡味,,,,,,,
經濟,寡言,,,,,,,
經濟寬裕,寡言少語,,,,,,,
經久耐用,掛漏,,,,,,,
經心,掛名,,,,,,,
經驗豐富,掛一漏萬,,,,,,,
經意,乖謬,,,,,,,
經用,乖僻,,,,,,,
井井有條,乖張,,,,,,,
井然,乖剌,,,,,,,
井然有序,乖戾,,,,,,,
警,怪里怪氣,,,,,,,
景氣,怪僻,,,,,,,
景色優美,官僚,,,,,,,
靜,官僚主義,,,,,,,
靜寂,光怪陸離,,,,,,,
靜穆,鬼,,,,,,,
靜悄,鬼鬼祟祟,,,,,,,
靜悄悄,鬼計多端,,,,,,,
靜態,鬼頭鬼腦,,,,,,,
靜幽幽,詭,,,,,,,
靜謐,詭計多端,,,,,,,
靖,詭祕,,,,,,,
淨,詭詐,,,,,,,
炯,詭譎,,,,,,,
炯炯,貴,,,,,,,
炯炯有神,過當,,,,,,,
究其實,過分簡單化,,,,,,,
久經考驗,過分擁擠,,,,,,,
拘謹,過河拆橋,,,,,,,
居高臨下,過了氣,,,,,,,
舉止大方,過氣,,,,,,,
舉止端莊,過橋抽板,,,,,,,
舉止文雅,過時,,,,,,,
舉足輕重,哈喇,,,,,,,
據實,孩子氣,,,,,,,
具有歷史意義,海底撈月,,,,,,,
具有吸引力,海底撈針,,,,,,,
具有壓倒性優勢,害,,,,,,,
俱佳,駭人聽聞,,,,,,,
娟,憨,,,,,,,
娟娟,含含糊糊,,,,,,,
娟秀,含含混混,,,,,,,
決定,含糊,,,,,,,
決定性,含糊不清,,,,,,,
決絕,含糊其辭,,,,,,,
決然,含糊其詞,,,,,,,
絕好,含混,,,,,,,
絕佳,含混不清,,,,,,,
絕了,含蓄,,,,,,,
絕妙,涵蓄,,,,,,,
絕色,寒苦,,,,,,,
均,寒素,,,,,,,
均等,寒酸,,,,,,,
均衡,寒微,,,,,,,
均一,寒傖,,,,,,,
均勻,寒磣,,,,,,,
鈞,悍,,,,,,,
俊,悍然,,,,,,,
俊麗,豪,,,,,,,
俊美,豪侈,,,,,,,
俊俏,豪橫,,,,,,,
俊秀,豪強,,,,,,,
開誠佈公,豪奢,,,,,,,
開闊,毫不客氣,,,,,,,
開朗,毫不留情,,,,,,,
開門見山,毫無價值,,,,,,,
開明,毫無目標,,,,,,,
開通,毫無意義,,,,,,,
開拓型,毫無用處,,,,,,,
慨,好不容易,,,,,,,
慨然,好容易,,,,,,,
堪稱第一,好事多磨,,,,,,,
堪稱一絕,黑,,,,,,,
康,黑暗,,,,,,,
康健,黑沉沉,,,,,,,
康樂,黑燈瞎火,,,,,,,
康泰,黑洞洞,,,,,,,
慷慨,黑咕隆咚,,,,,,,
靠得住,黑乎乎,,,,,,,
科學,黑茫茫,,,,,,,
可,黑濛濛,,,,,,,
可愛,黑漆寥光,,,,,,,
可歌可泣,黑漆漆,,,,,,,
可觀,黑森森,,,,,,,
可貴,黑心,,,,,,,
可嘉,黑心腸,,,,,,,
可敬,黑黝黝,,,,,,,
可靠,狠,,,,,,,
可口,狠毒,,,,,,,
可樂,狠勁,,,,,,,
可能,狠心,,,,,,,
可親,橫,,,,,,,
可圈可點,橫暴,,,,,,,
可塑,橫加,,,,,,,
可統一,橫蠻無理,,,,,,,
可喜,橫七豎八,,,,,,,
可笑,鬨然,,,,,,,
可心,猴,,,,,,,
可信,後患無窮,,,,,,,
可信賴,後進,,,,,,,
可信任,呼么喝六,,,,,,,
可以信賴,胡,,,,,,,
可意,胡里胡塗,,,,,,,
刻苦,胡亂,,,,,,,
刻意,鬍子拉茬,,,,,,,
客觀,鬍子拉碴,,,,,,,
客觀上,糊糊塗塗,,,,,,,
客氣,糊里糊塗,,,,,,,
肯幹,糊塗,,,,,,,
懇,虎踞龍蟠,,,,,,,
懇切,虎頭蛇尾,,,,,,,
懇摯,花,,,,,,,
空靈,花插著,,,,,,,
空前,花搭著,,,,,,,
空前絕後,花花搭搭,,,,,,,
口緊,花裡胡哨,,,,,,,
扣人心絃,花錢浪費,,,,,,,
苦,花拳繡腿,,,,,,,
苦口婆心,花天酒地,,,,,,,
苦苦,花心,,,,,,,
苦心,譁然,,,,,,,
苦心孤詣,華,,,,,,,
酷,華而不實,,,,,,,
快刀斬亂麻,猾,,,,,,,
快捷,滑,,,,,,,
快人快語,滑頭,,,,,,,
寬,滑頭滑腦,,,,,,,
寬大,懷著惡意,,,,,,,
寬洪,壞,,,,,,,
寬宏,壞脾氣,,,,,,,
寬宏大量,壞人當道,,,,,,,
寬厚,幻,,,,,,,
寬懷,幻異,,,,,,,
寬容,荒誕,,,,,,,
款洽,荒誕不經,,,,,,,
匡,荒誕派,,,,,,,
狂放,荒誕無稽,,,,,,,
狂亂,荒寂,,,,,,,
狂熱,荒涼,,,,,,,
曠達,荒亂,,,,,,,
闊,荒落,,,,,,,
來得,荒謬,,,,,,,
來勁,荒謬絕倫,,,,,,,
來者不拒,荒漠,,,,,,,
爛漫,荒僻,,,,,,,
爛熟,荒棄,,,,,,,
朗,荒疏,,,,,,,
勞苦功高,荒唐,,,,,,,
牢,荒唐無稽,,,,,,,
牢固,荒無人煙,,,,,,,
牢靠,荒蕪,,,,,,,
牢牢,荒淫,,,,,,,
牢穩,荒淫無恥,,,,,,,
老成,荒淫無度,,,,,,,
老成練達,荒瘠,,,,,,,
老誠,黃色,,,,,,,
老當益壯,晃晃悠悠,,,,,,,
老到,晃悠悠,,,,,,,
老而彌堅,恍恍惚惚,,,,,,,
老辣,恍惚,,,,,,,
老老實實,謊,,,,,,,
老練,灰暗,,,,,,,
老馬識途,灰沉沉,,,,,,,
老謀深算,灰茫茫,,,,,,,
老牌,灰濛濛,,,,,,,
老實,灰色,,,,,,,
老於世故,灰禿禿,,,,,,,
樂觀,灰朦朦,,,,,,,
樂融融,慧黠,,,,,,,
樂善好施,晦,,,,,,,
樂天,晦暗,,,,,,,
雷打不動,晦澀,,,,,,,
磊落,晦冥,,,,,,,
理所當然,晦暝,,,,,,,
理想,穢,,,,,,,
理想化,穢惡,,,,,,,
理性,穢亂,,,,,,,
理智,穢土,,,,,,,
禮節性,穢褻,,,,,,,
禮貌,會來事,,,,,,,
禮貌性,昏,,,,,,,
麗,昏暗,,,,,,,
歷歷,昏沉,,,,,,,
歷歷可數,昏黑,,,,,,,
歷史性,昏亂,,,,,,,
利,昏昧,,,,,,,
利齒,昏天黑地,,,,,,,
利害攸關,昏頭昏腦,,,,,,,
利口,昏庸,,,,,,,
利落,昏憒,,,,,,,
利索,昏聵,,,,,,,
利他,婚外,,,,,,,
利嘴,渾,,,,,,,
力透紙背,渾渾噩噩,,,,,,,
廉,渾頭渾腦,,,,,,,
廉價,渾濁,,,,,,,
廉潔,渾噩,,,,,,,
廉潔奉公,混,,,,,,,
廉明,混合,,,,,,,
練達,混混沌沌,,,,,,,
良,混交,,,,,,,
良好,混亂,,,,,,,
良善,混淆不清,,,,,,,
良性,混血,,,,,,,
兩袖清風,混賬,,,,,,,
亮,混濁,,,,,,,
亮光光,混沌,,,,,,,
亮晃晃,活動,,,,,,,
亮晶晶,火暴,,,,,,,
亮麗,火爆,,,,,,,
亮亮堂堂,禍不單行,,,,,,,
亮閃閃,禍從天降,,,,,,,
亮堂,機變,,,,,,,
亮堂堂,機械,,,,,,,
了當,機械式,,,,,,,
瞭然,機械性,,,,,,,
料事如神,畸,,,,,,,
烈,畸輕畸重,,,,,,,
琳琅滿目,畸形,,,,,,,
淋漓,積滿灰塵,,,,,,,
淋漓盡致,積重難返,,,,,,,
玲瓏,雞零狗碎,,,,,,,
玲瓏剔透,雞毛蒜皮,,,,,,,
伶俐,雞犬不留,,,,,,,
靈,雞犬不寧,,,,,,,
靈便,棘手,,,,,,,
靈光,急不可待,,,,,,,
靈活,急功近利,,,,,,,
靈活機動,急切,,,,,,,
靈捷,急性子,,,,,,,
靈快,急於,,,,,,,
靈敏,急躁,,,,,,,
靈巧,疾言厲色,,,,,,,
靈透,擠,,,,,,,
靈秀,擠巴,,,,,,,
靈驗,擠得水洩不通,,,,,,,
令人大開眼界,擠得要命,,,,,,,
令人高興,擠擠插插,,,,,,,
令人鼓舞,擠滿,,,,,,,
令人滿意,寂,,,,,,,
令人欽佩,寂寥,,,,,,,
令人神往,寂寞,,,,,,,
令人羨慕,忌刻,,,,,,,
令人信服,夾七夾八,,,,,,,
令人矚目,家長式,,,,,,,
溜,家貧如洗,,,,,,,
溜光,家徒壁立,,,,,,,
溜光水滑,家徒四壁,,,,,,,
溜滑,假,,,,,,,
流暢,假冒,,,,,,,
流芳百世,假模假式,,,,,,,
流芳後世,假仁假義,,,,,,,
流芳千古,假想,,,,,,,
流利,假惺惺,,,,,,,
流行,假意,,,,,,,
龍飛鳳舞,假造,,,,,,,
龍騰虎躍,假正經,,,,,,,
隆,假裝神聖,,,,,,,
隆重,價高,,,,,,,
陋,價格不菲,,,,,,,
爐火純青,價格高昂,,,,,,,
露骨,架空,,,,,,,
路不拾遺,尖刻,,,,,,,
路人皆知,尖酸,,,,,,,
履險如夷,尖酸刻薄,,,,,,,
率,尖嘴薄舌,,,,,,,
率真,尖嘴猴腮,,,,,,,
率直,間不容髮,,,,,,,
綠色,間雜,,,,,,,
略,肩摩轂擊,,,,,,,
鑼鼓喧天,艱,,,,,,,
落落大方,艱鉅,,,,,,,
落拓不羈,艱苦,,,,,,,
麻利,艱苦卓絕,,,,,,,
麻麻亮,艱難,,,,,,,
脈脈,艱難曲折,,,,,,,
脈脈含情,艱難險阻,,,,,,,
滿口,艱澀,,,,,,,
滿腔熱忱,艱深,,,,,,,
滿腔熱情,艱危,,,,,,,
滿腔熱血,艱辛,,,,,,,
滿園春色,奸,,,,,,,
曼,奸刁,,,,,,,
曼妙,奸惡,,,,,,,
慢條斯理,奸猾,,,,,,,
